OBJECTID	FEATUREID	TotalDrainageAreaSqKM
662	827421	654.1101
663	827428	5.4009
664	827429	2.2239
665	827430	4.3677
666	827456	3.6954
667	827463	230.6898
668	827464	0.9882
669	827480	1.1646
670	827490	2.6046
671	827491	0.999
672	827500	2.8539
673	827503	8.109
674	827504	11.2905
675	827512	2.7882
676	827513	0.945
677	827521	3.7746
678	827527	233.388
679	827528	1.2681
680	827547	1.2357
681	827560	4.248
682	827574	1.7973
683	827593	1.8702
684	827612	0.8478
685	827613	2.7576
686	827614	237.2958
687	827622	23.2965
688	827633	1.8351
689	827634	4.3866
690	827635	3.8547
691	827701	1.5345
692	827702	6.363
693	827724	177.6771
694	827774	1.3527
695	827775	1.881
696	827776	1.0323
697	827782	27.6696
698	827799	3.6459
699	827800	662.6997
700	827809	3.9204
701	827810	30.7305
702	827823	185.8149
703	827831	240.6519
704	827832	1289.7693
705	827833	0.9225
706	827841	1.2042
707	827842	1.224
708	827894	1.134
709	827915	1.1061
710	827916	7.2513
711	827927	2.5272
712	827928	8.9199
713	827935	666.6624
714	827984	7.6446
715	827985	20.9106
716	827992	0.9468
717	827993	676.8333
718	827994	7.6338
719	828004	669.3129
720	828013	1.8315
721	828038	2.7324
722	828039	0.9513
723	828066	1.3527
724	828086	12.9807
725	828087	2.5686
726	828105	35.4411
727	828106	1.8711
728	828107	214.6158
729	828131	672.4908
730	828132	674.334
731	828155	1.053
732	828188	0.9972
733	828200	1049.1066
734	828207	718.8147
735	828208	1.7181
736	828217	1045.4319
737	828234	0.9846
738	828235	29.0808
739	828244	2.1933
740	828245	988.8066
741	828246	1043.5734
742	828276	4.3263
743	828277	986.5521
744	828304	1.1493
745	828305	2.2338
746	828314	1.3887
747	828319	682.6977
748	828347	7.6158
749	828348	980.4492
750	828349	0.9585
751	828362	972.495
752	828363	217.7793
753	828401	5.4423
754	828410	1.116
755	828411	1.503
756	828416	54.6768
757	828434	4.2075
758	828435	2.6334
759	828443	7.3206
760	828459	3.897
761	828474	722.0988
762	828475	1.8414
763	828480	0.954
764	828493	0.7893
765	828494	17.5932
766	828508	9.0783
767	828515	971.5257
768	828539	0.7911
769	828543	11.7828
770	828544	968.6007
771	828567	1.3482
772	828577	6.4962
773	828578	27.7137
774	828616	28.7802
775	828617	31.1067
776	828618	935.6328
777	828634	956.4525
778	828641	807.5925
779	828647	3.4065
780	828655	1.0818
781	828661	3.7422
782	828662	879.9696
783	828663	7.7274
784	828664	4.5711
785	828665	903.9024
786	828666	1293.849
787	828680	888.1173
788	828681	899.0586
789	828682	1.8531
790	828683	1719.5373
791	828689	940.8285
792	828690	943.6959
793	828691	7.6302
794	828692	952.0785
795	828717	82.0971
796	828735	5.2902
797	828736	2.205
798	828748	1.8009
799	828749	1297.6758
800	828756	10.7028
801	828757	3.3831
802	828761	1.0314
803	828762	1.3239
804	828784	231.75
805	828813	1.2681
806	828835	2.5722
807	828836	1.4049
808	828837	1301.3658
809	828852	1.8153
810	828860	1480.0959
811	828861	1712.2401
812	828862	1717.4781
813	828870	1.1277
814	828893	1.5012
815	828894	0.7578
816	828895	71.5878
817	828911	2.2014
818	828912	77.1435
819	828913	3.9861
820	828914	1.5336
821	828936	69.948
822	828951	60.228
823	828957	2.0799
824	828971	1.2753
825	828972	7.4016
826	828991	2.8647
827	828992	1.2096
828	829021	1.8954
829	829028	2.1339
830	829038	1.2096
831	829045	5.1543
832	829046	37.4139
833	829047	56.6973
834	829058	1.08
835	829095	2.4957
836	829107	46.827
837	829150	3.3516
838	829151	1307.8017
839	829152	5.1048
840	829195	10.3041
841	829196	4.5675
842	829212	1.9206
843	829219	18.1071
844	829225	9.2988
845	829226	2.556
846	829257	1477.4715
847	829273	1.6236
848	829274	1.4652
849	829302	1474.7481
850	829326	1313.8713
851	829375	39.6252
852	829389	7.5564
853	829422	0.7983
854	829435	3.6774
855	829458	0.9153
856	829459	69.6285
857	829460	1.5705
858	829471	16.0605
859	829529	16.6383
860	829559	49.7547
861	829560	37.6074
862	829570	0.7659
863	829571	1319.5773
864	829572	1351.8207
865	829618	9.693
866	829633	3.5766
867	829639	1.0026
868	829640	3.8178
869	829653	2.3472
870	829654	4.266
871	829655	9.7164
872	829656	1.7208
873	829662	3.5091
874	829672	5.8527
875	829684	1.449
876	829685	1.4697
877	829686	0.9162
878	829705	1473.1146
879	829715	11.2617
880	829725	1.3734
881	829743	1.1727
882	829750	1371.3192
883	829760	1.2591
884	829761	15.003
885	829762	2.3364
886	829763	0.963
887	829774	2.8692
888	829781	14.9031
889	829788	1.1826
890	829795	1468.5723
891	829796	2.8683
892	829797	0.9864
893	829801	1.2843
894	829809	0.9648
895	829818	0.9648
896	829819	2.0871
897	829832	1.6065
898	829863	4.1517
899	829893	1373.7555
900	829894	4.2255
901	829903	9.7137
902	829916	1.8576
903	829917	1.7262
904	829918	7.1748
905	829929	1.6092
906	829930	47.862
907	829942	1467.1431
908	829982	36.0477
909	829991	1.0611
910	830001	1378.2447
911	830045	15.0336
912	830073	19.1925
913	830101	1.773
914	830102	0.8829
915	830111	4.3263
916	830112	3.3471
917	830113	42.6618
918	830137	0.8073
919	830169	1447.4637
920	830170	3.7872
921	830230	3.2634
922	830231	1.0908
923	830232	30.1608
924	830246	1.6056
925	830261	5.2236
926	830262	0.7803
927	830290	3.7926
928	830305	0.81
929	830310	5.5908
930	830315	0.8397
931	830316	38.4516
932	830317	1.278
933	830326	0.9936
934	830327	4.3965
935	830328	68.6565
936	830329	1452.4488
937	830338	0.8082
938	830368	25.56
939	830376	1461.6099
940	830403	2.1357
941	830404	0.8739
942	830434	8.6346
943	830435	23.1813
944	830451	13.1499
945	830452	1458.4581
946	830461	1456.011
947	830469	1.2699
948	830479	1.9305
949	830486	6.6825
950	830507	10.2285
951	830508	1.3365
952	830509	1.4544
953	830516	1.1925
954	830517	0.8325
955	830527	2.8332
956	830538	36.8883
957	830588	1.8405
958	830597	1.9314
959	830606	3.339
960	830613	0.8811
961	830614	0.8055
962	830630	13.599
963	830631	0.8667
964	830640	1.5651
965	830641	1.8981
966	830662	1.854
967	830663	6.4278
968	830664	1.1691
969	830688	2.9304
970	830697	8.4645
971	830707	2.4102
972	830708	66.4812
973	830718	11.6667
974	830719	16.0857
975	830720	18.4599
976	830721	22.4667
977	830722	9.7434
978	830723	14.5035
979	830733	1.5615
980	830768	5.7924
981	830777	6.5322
982	830785	9.2484
983	830819	0.9126
984	830859	4.7358
985	830860	1.1214
986	830889	1.1439
987	830890	5.4585
988	830985	5.3379
989	830986	1.2276
990	830987	2.0106
991	831012	2.1249
992	831041	1.1979
993	831079	1.053
994	831123	2.9349
995	831145	1.1826
996	831154	3.0987
997	831183	1.1331
998	831206	0.945
999	831309	3.4884
1000	831369	58.9572
1001	831402	46.6362
1002	831403	0.7686
1003	831424	1.026
1004	831481	51.4008
1005	831491	23.5557
1006	831492	45.5112
1007	831515	4.2138
1008	831566	17.2557
1009	831571	21.4209
1010	831607	7.038
1011	831608	1.2411
1012	831626	1.0881
1013	831682	1.4724
1014	831721	2.1933
1015	831766	1.4409
1016	831777	7.4232
1017	831810	2.4813
1018	831843	19.6038
1019	831862	6.201
1020	831863	10.4364
1021	831957	3.114
1022	831970	1.0503
1023	831971	0.7812
1024	832028	3.3741
1025	832055	4.1616
1026	832122	3.4686
1027	832254	0.9729
1028	832267	1.8927
1029	832300	15.714
1030	832462	1.3995
1031	832612	10.5822
1032	832642	1.8477
1033	832650	8.7282
1034	832732	0.8307
1035	832918	1.5957
1036	832919	6.597
1037	833204	0.7614
1038	833205	4.4046
1039	833304	2.7702
